"","happiness_score","country","density","agricultural_land","land_area","armed_forces","birth_rate","carbon_emissions","cpi","cpi_change","fertility_rate","forested_area","gasoline_price","gdp","primary_edu_enrollment","tertiary_edu_enrollment","infant_mortality","life_expectancy","maternal_mortality","minimum_wage","pocket_health_expenditure","physicians_per_thousand","population","labor_force","tax_revenue","total_tax","unemployment_rate","urban_population","latitude","longitude"
"12",5.684,"Bolivia",11,34.8,1098581,71000,21.75,21606,148.32,1.8,2.73,50.3,0.71,40895322865,98.2,NA,21.8,71.2,155,1.36,25.9,1.59,11513100,71.8,17,"83.70",3.5,8033035,-16.290154,-63.588653
"13",5.633,"Bosnia and Herzegovina",64,43.1,51197,11000,8.11,21848,104.9,0.6,1.27,42.7,1.05,20047848435,NA,23.3,5,77.3,10,1.04,28.6,2.16,3301000,46.4,20.4,"23.70",18.42,1605144,43.915886,17.679076
"14",3.435,"Botswana",4,45.6,581730,9000,24.82,6340,149.75,2.8,2.87,18.9,0.71,18340510789,103.2,24.9,30,69.3,144,0.29,5.3,0.37,2346179,70.8,19.5,"25.10",18.19,1616550,-22.328474,24.684866
"15",6.125,"Brazil",25,33.9,8515770,730000,13.92,462299,167.4,3.7,1.73,58.9,1.02,1839758040766,115.4,51.3,12.8,75.7,60,1.53,28.3,2.15,212559417,63.9,14.2,"65.10",12.08,183241641,-14.235004,-51.92528
"16",5.466,"Bulgaria",64,46.3,110879,31000,8.9,41708,114.42,3.1,1.56,35.4,1.11,8.6e+10,89.3,71,5.9,74.9,10,1.57,47.7,4.03,6975761,55.4,20.2,"28.30",4.34,5256027,42.733883,25.48583
"17",4.638,"Burkina Faso",76,44.2,274200,11000,37.93,3418,106.58,-3.2,5.19,19.3,0.98,15745810235,96.1,6.5,49,61.2,320,0.34,36.1,0.08,20321378,66.4,15,"41.30",6.26,6092349,12.238333,-1.561593
"18",4.393,"Cambodia",95,30.9,181035,191000,22.46,9919,127.63,2.5,2.5,52.9,0.9,27089389787,107.4,13.7,24,69.6,160,NA,59.4,0.17,16486542,82.3,17.1,"23.10",0.68,3924621,12.565679,104.990963
"19",4.973,"Cameroon",56,20.6,475440,24000,35.39,8291,118.65,2.5,4.57,39.3,1.03,38760467033,103.4,12.8,50.6,58.9,529,0.35,69.7,0.09,25876380,76.1,12.8,"57.70",3.38,14741256,7.369722,12.354722
"20",6.961,"Canada",4,6.9,9984670,72000,10.1,544894,116.76,1.9,1.5,38.2,0.81,1736425629520,100.9,68.9,4.3,81.9,10,9.51,14.6,2.61,36991981,65.1,12.8,"24.50",5.56,30628482,56.130366,-106.346771
"21",4.397,"Chad",13,39.7,1284000,35000,42.17,1016,117.7,-1,5.75,3.8,0.78,11314951343,86.8,3.3,71.4,54,1140,0.6,56.4,0.04,15946876,70.7,NA,"63.50",1.89,3712273,15.454166,18.732207
"22",6.334,"Chile",26,21.2,756096,122000,12.43,85822,131.91,2.6,1.65,24.3,1.03,282318159745,101.4,88.5,6.2,80,13,2,32.2,2.59,18952038,62.6,18.2,"34.00",7.09,16610135,-35.675147,-71.542969
"23",5.818,"China",153,56.2,9596960,2695000,10.9,9893038,125.08,2.9,1.69,22.4,0.96,1.991e+13,100.2,50.6,7.4,77,29,0.87,32.4,1.98,1397715000,68,9.4,"59.20",4.32,842933962,35.86166,104.195397
"24",5.63,"Colombia",46,40.3,1138910,481000,14.88,97814,140.95,3.5,1.81,52.7,0.68,323802808108,114.5,55.3,12.2,77.1,83,1.23,18.3,2.18,50339443,68.8,14.4,"71.20",9.71,40827302,4.570868,-74.297333
"25",3.545,"Comoros",467,71.5,2235,NA,31.88,202,103.62,-4.3,4.21,19.7,NA,1185728677,99.5,9,51.3,64.1,273,0.71,74.8,0.27,850886,43.3,NA,"219.60",4.34,248152,-11.6455,43.3333
"26",6.609,"Costa Rica",100,34.5,51100,10000,13.97,8023,128.85,2.1,1.75,54.6,0.98,61773944174,113.3,55.2,7.6,80.1,27,1.84,21.5,2.89,5047561,62.1,13.6,"58.30",11.85,4041885,9.748917,-83.753428
"27",6.125,"Croatia",73,27.6,56594,18000,9,17488,109.82,0.8,1.47,34.4,1.26,60415553039,96.5,67.9,4,78.1,8,2.92,15.2,3,4067500,51.2,22,"20.50",6.93,2328318,45.1,15.2
"28",6.13,"Cyprus",131,12.2,9251,16000,10.46,6626,102.51,0.3,1.33,18.7,1.23,24564647935,99.3,75.9,1.9,80.8,6,NA,43.9,1.95,1198575,63.1,24.5,"22.40",7.27,800708,35.126413,33.429859
"29",6.845,"Czechia",139,45.2,78867,23000,10.7,102218,116.48,2.8,1.69,34.6,1.17,246489245495,100.7,64.1,2.7,79,3,3,14.8,4.12,10669709,60.6,14.9,"46.10",1.93,7887156,49.817492,15.472962
"30",6.535,"Democratic Republic of the Congo",40,11.6,2344858,134000,41.18,2021,133.85,2.9,5.92,67.2,1.49,47319624204,108,6.6,68.2,60.4,473,0.18,37.4,0.07,86790567,63.5,10.7,"50.70",4.24,39095679,-4.038333,21.758664
"31",7.586,"Denmark",137,62,43094,15000,10.6,31786,110.35,0.8,1.73,14.7,1.55,348078018464,101.3,80.6,3.6,81,4,NA,13.7,4.01,5818553,62.2,32.4,"23.80",4.91,5119978,56.26392,9.501785
"32",5.569,"Dominican Republic",225,48.7,48670,71000,19.51,25258,135.5,1.8,2.35,41.7,1.07,88941298258,105.7,59.9,24.1,73.9,95,0.4,43.7,1.56,10738958,64.3,13,"48.80",5.84,8787475,18.735693,-70.162651
"33",5.559,"Ecuador",71,22.2,283561,41000,19.72,41155,124.14,0.3,2.43,50.2,0.61,107435665000,103.3,44.9,12.2,76.8,59,2.46,43.7,2.04,17373662,68,NA,"34.40",3.97,11116711,-1.831239,-78.183406
"34",4.17,"Egypt",103,3.8,1001450,836000,26.38,238560,288.57,9.2,3.33,0.1,0.4,303175127598,106.3,35.2,18.1,71.8,37,NA,62,0.45,100388073,46.4,12.5,"44.40",10.76,42895824,26.820553,30.802498
"35",6.122,"El Salvador",313,76.4,21041,42000,18.25,7169,111.23,0.1,2.04,12.6,0.83,27022640000,94.8,29.4,11.8,73.1,46,0.5,27.9,1.57,6453553,59.1,18.1,"36.40",4.11,4694702,13.794185,-88.89653
"36",6.455,"Estonia",31,23.1,45228,6000,10.9,16590,122.14,2.3,1.59,51.3,1.14,31386949981,97.2,69.6,2.1,78.2,9,3.14,22.8,4.48,1331824,63.6,20.9,"47.80",5.11,916024,58.595272,25.013607
"37",4.091,"Ethiopia",115,36.3,1104300,138000,32.34,14870,143.86,15.8,4.25,12.5,0.75,96107662398,101,8.1,39.1,66.2,401,NA,37.8,0.08,112078730,79.6,7.5,"37.70",2.08,23788710,9.145,40.489673
"38",7.804,"Finland",18,7.5,338145,25000,8.6,45871,112.33,1,1.41,73.1,1.45,268761201365,100.2,88.2,1.4,81.7,3,NA,19.9,3.81,5520314,59.1,20.8,"36.60",6.59,4716888,61.92411,25.748151
"39",6.661,"France",119,52.4,643801,307000,11.3,303276,110.05,1.1,1.88,31.2,1.39,2715518274227,102.5,65.6,3.4,82.5,8,11.16,6.8,3.27,67059887,55.1,24.2,"60.70",8.43,54123364,46.227638,2.213749
